Year,Month,USD,JPY
2019,6,"1,154.7","1,072.2"
2019,7,"1,183.1","1,090.2"
2019,8,"1,211.2","1,139.0"
2019,9,"1,196.2","1,109.5"
2019,10,"1,163.4","1,070.5"
2019,11,"1,181.2","1,078.8"
2019,12,"1,156.4","1,059.8"
2020,1,"1,191.8","1,093.1"
2020,2,"1,213.7","1,114.8"
2020,3,"1,217.4","1,123.5"
2020,4,"1,218.2","1,143.3"
2020,5,"1,238.5","1,155.3"
2020,6,"1,203.0","1,116.6"
2020,7,"1,191.3","1,141.4"
2020,8,"1,187.8","1,124.0"
2020,9,"1,169.5","1,107.3"
2020,10,"1,135.1","1,088.8"
2020,11,"1,106.5","1,065.2"
2020,12,"1,086.3","1,051.2"
2021,1,"1,118.8","1,070.7"
2021,2,"1,123.5","1,058.4"
2021,3,"1,131.8","1,022.2"
2021,4,"1,112.3","1,022.4"
2021,5,"1,110.9","1,012.3"
2021,6,"1,126.1","1,019.3"
2021,7,"1,150.3","1,049.5"
2021,8,"1,159.5","1,055.9"
2021,9,"1,184.0","1,058.1"
2021,10,"1,168.6","1,029.4"
2021,11,"1,187.9","1,049.5"
2021,12,"1,188.8","1,032.5"
2022,1,"1,205.5","1,044.9"
2022,2,"1,202.3","1,040.9"
2022,3,"1,212.1",995.5
2022,4,"1,255.9",964.3
2022,5,"1,237.2",967.8
2022,6,"1,298.4",953.2
2022,7,"1,299.1",984.1
2022,8,"1,337.6",966.0
2022,9,"1,430.2",989.9
2022,10,"1,424.3",963.2
2022,11,"1,318.8",952.6
2022,12,"1,264.5",945.6
2023,1,"1,231.9",946.0
2023,2,"1,322.6",970.5
2023,3,"1,301.9",979.6
2023,4,"1,337.7",989.4
2023,5,"1,327.2",951.1
2023,6,"1,317.7",911.4
2023,7,"1,274.6",899.8
2023,8,"1,321.8",905.5
2023,9,"1,349.3",904.8
2023,10,"1,350.5",899.7
2023,11,"1,290.0",877.8
2023,12,"1,288.0",912.3
2024,1,"1,334.6",902.9
2024,2,"1,331.5",888.9
2024,3,"1,347.2",889.8
2024,4,"1,382.0",881.2
2024,5,"1,384.5",882.3
2024,6,"1,376.7",855.6
2024,7,"1,376.5",900.9
2024,8,"1,336.0",921.2
2024,9,"1,307.8",922.4
2024,10,"1,379.9",903.6
